0	43697 	30293 	6 	4 
0	43697 	30293 	6 	4 
0	43697 	30293 	6 	4 
0	44095 	30595 	6 	19 
0	44069 	30591 	6 	19 
0	44095 	30595 	6 	19 
0	44375 	30911 	6 	34 
0	44375 	30911 	6 	34 
0	44371 	30911 	6 	34 
0	44755 	31552 	6 	64 
0	44755 	31552 	6 	64 
0	44780 	31549 	6 	64 
0	45999 	33477 	6 	154 
0	45989 	33473 	6 	154 
0	45989 	33473 	6 	154 
0	48362 	36677 	6 	304 
0	48362 	36677 	6 	304 
0	48351 	36675 	6 	304 
0	52789 	43076 	6 	604 
0	52789 	43076 	6 	604 
0	52752 	43077 	6 	604 
0	65820 	62254 	6 	1504 
0	65974 	62256 	6 	1504 
0	65974 	62256 	6 	1504 
0	43697 	30293 	6 	4 
5	44095 	30595 	6 	19 
10	44375 	30911 	6 	34 
20	44755 	31552 	6 	64 
50	45989 	33473 	6 	154 
100	48362 	36677 	6 	304 
200	52789 	43076 	6 	604 
500	65974 	62256 	6 	1504 
